Test Case ID,Title,Description,Type,Priority,Complexity,Status,Source,PRD Document,Test Steps,Expected Results,Created At,Reviewed At


TC_002570,"Goal Weightage Progress Bar - Visual Accuracy","Test that validates progress bar shows correct percentage after adding goals.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to Goal Setting Page | Add Goal with Weightage '30' | Add Goal with Weightage '20'","Progress bar displays 50% used, 50% remaining.",24/10/2025,N/A

TC_002569,"Modal Dialog - Cancel Closes Modal Without Submitting","Test that validates clicking Cancel closes modal and does not submit appraisal.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to Project Review Screen | Enter Project Review Score '80' | Click Submit | Click Cancel on modal","Modal closed, appraisal not submitted, no confirmation message.",24/10/2025,N/A

TC_002568,"Modal Dialog - Confirmation on Appraisal Submission","Test that validates confirmation modal appears when submitting appraisal and has 'Confirm' and 'Cancel' buttons.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to Project Review Screen | Enter Project Review Score '80' | Click Submit","Confirmation modal appears with message 'Are you sure you want to submit appraisal?' and buttons 'Confirm' and 'Cancel'.",24/10/2025,N/A

TC_002567,"Responsive Design - Goal Setting Page on Mobile","Test that validates Goal Setting Page layout adapts correctly on mobile screen width 375px.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Set viewport width to 375px | Navigate to Goal Setting Page","Form fields stack vertically, Add Goal button remains accessible, no horizontal scroll.",24/10/2025,N/A

TC_002566,"Navigation Menu - Reports Link Opens Admin Report Dashboard","Test that validates clicking on 'Reports' opens Admin Report Dashboard for Admin role.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Login as Admin | Navigate to Dashboard | Click Reports","Admin Report Dashboard opens with options to view 'Consolidated Promotion Recommendation Report' and 'Consolidated Training Requirement Report'.",24/10/2025,N/A

TC_002565,"Navigation Menu - Role-Based Module Visibility","Test that validates navigation menu shows only allowed modules for each role.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Login as Admin | Navigate to Dashboard | Check navigation menu for 'Reports' module | Login as PM | Navigate to Dashboard | Check navigation menu for 'Goal Setting' module | Login as Appraisee | Navigate to Dashboard | Check navigation menu for 'Self-Assessment' module","Admin sees 'Reports', PM sees 'Goal Setting', Appraisee sees 'Self-Assessment'; no unauthorized modules displayed.",24/10/2025,N/A

TC_002564,"Goal Editing Modal - Add New Goal Adjusts Remaining Weightage","Test that validates adding a new goal adjusts remaining weightage correctly.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to Goal Setting Page | Enter Goal Description 'Code refactoring' | Enter Weightage '10' | Click Add Goal","Remaining weightage updated to 70% (assuming previous 30% used), goal added to list.",24/10/2025,N/A

TC_002563,"Goal Editing Modal - Delete Option Not Available","Test that validates delete goal option is not available in the editing modal.",ui,P1,simple,pending,AI Generated,"PMS_SRS_V0.1 - Revised.docx","Navigate to Goal Setting Page | Click Edit Goal for existing goal 'Improve code quality' | Check modal for delete option","Delete option not present in the modal.",24/10/2025,N/A

